timestamp,trial_number,m,max_layer,efc,efs,avg_recall,avg_time_ms,build_time_ms,score,status
2025-12-01T22:25:22.178835,0,40,17,500,457,1.0,0.6394627165512563,625.0,0.001,FEASIBLE
2025-12-01T22:25:22.383129,1,40,17,648,457,1.0,0.642643376785335,625.0,0.001,FEASIBLE
2025-12-01T22:25:22.541907,2,32,8,400,100,0.9930153360608995,0.8190391306013911,500.0,0.001,FEASIBLE
2025-12-01T22:25:22.688730,3,56,20,800,600,1.0,0.7636585655016209,875.0,0.001,FEASIBLE
2025-12-01T22:25:22.842611,4,32,20,754,1230,1.0,0.45915462509436933,500.0,0.001,FEASIBLE
2025-12-01T22:25:23.001063,5,24,8,133,1743,1.0,0.3530058042847125,375.0,0.001,FEASIBLE
2025-12-01T22:25:23.162228,6,44,16,98,1943,0.781538314161212,7.1043843767327,1000.0,208761.68583878796,INFEASIBLE
2025-12-01T22:25:23.349860,7,56,9,247,432,1.0,0.7936503376766288,875.0,0.001,FEASIBLE
2025-12-01T22:25:23.526861,8,28,13,477,639,1.0,0.4814393299208703,437.5,0.001,FEASIBLE
2025-12-01T22:25:23.691071,9,44,8,349,783,1.0,0.6172158162312732,687.5,0.001,FEASIBLE
2025-12-01T22:25:23.853939,10,16,13,972,1142,0.71733892899605,6.0223606389536535,1000.0,272961.0710039499,INFEASIBLE
2025-12-01T22:25:24.016678,11,40,17,630,102,0.9933441705685041,0.9037116632197683,625.0,0.001,FEASIBLE
2025-12-01T22:25:24.188441,12,64,16,615,351,1.0,0.9098200758775876,1000.0,0.001,FEASIBLE
2025-12-01T22:25:24.378069,13,40,18,559,963,1.0,0.5668723288080474,625.0,0.001,FEASIBLE
2025-12-01T22:25:24.557472,14,52,14,737,1330,1.0,0.6613239201220017,812.5,0.001,FEASIBLE
2025-12-01T22:25:24.721151,15,48,11,929,359,1.0,0.747105023943853,750.0,0.001,FEASIBLE
2025-12-01T22:25:24.891675,16,36,18,408,837,1.0,0.5381735364310494,562.5,0.001,FEASIBLE
2025-12-01T22:25:25.055441,17,20,15,676,1500,1.0,0.3360891169637512,312.5,0.001,FEASIBLE
2025-12-01T22:25:25.226976,18,36,11,857,579,1.0,0.5702438272636525,562.5,0.001,FEASIBLE
2025-12-01T22:25:25.424011,19,48,18,505,261,0.9952545049062131,0.7910964970058267,750.0,0.001,FEASIBLE
2025-12-01T22:25:25.598062,20,64,6,299,976,1.0,0.8068699314233149,1000.0,0.001,FEASIBLE
2025-12-01T22:25:25.759793,21,32,11,425,87,0.9690152707943533,1.6717856198090224,500.0,21284.729205646603,INFEASIBLE
2025-12-01T22:25:25.919581,22,28,15,542,261,1.0,0.5914779966421467,437.5,0.001,FEASIBLE
2025-12-01T22:25:26.084079,23,36,19,189,501,1.0,0.5909993023402791,562.5,0.001,FEASIBLE
2025-12-01T22:25:26.261335,24,44,6,382,742,1.0,0.6181708974090696,687.5,0.001,FEASIBLE
2025-12-01T22:25:26.450242,25,32,16,598,207,0.9980513104541013,0.659720181568425,500.0,0.001,FEASIBLE
2025-12-01T22:25:26.640494,26,24,10,462,464,1.0,0.476054286608768,375.0,0.001,FEASIBLE
2025-12-01T22:25:26.800383,27,40,12,316,106,0.9872164400328275,0.8928398560959074,625.0,0.001,FEASIBLE
2025-12-01T22:25:26.960756,28,28,14,708,295,1.0,0.5644288263961912,437.5,0.001,FEASIBLE
2025-12-01T22:25:27.125841,29,56,20,834,610,1.0,0.7536283457475991,875.0,0.001,FEASIBLE
2025-12-01T22:25:27.294924,30,48,17,675,862,1.0,0.6573136793947054,750.0,0.001,FEASIBLE
2025-12-01T22:25:27.480754,31,36,20,799,676,1.0,0.5449890866436884,562.5,0.001,FEASIBLE
2025-12-01T22:25:27.662687,32,56,19,891,454,1.0,0.7864633203467338,875.0,0.001,FEASIBLE
2025-12-01T22:25:27.827321,33,40,17,556,539,1.0,0.6237575126710105,625.0,0.001,FEASIBLE
