C,P,I,time_pred,recall_pred,P_C_ratio,score
2832,15,6,1.98,0.9664,0.0053,0.4653
2832,17,6,1.98,0.9664,0.006,0.4653
2832,19,6,1.98,0.9664,0.0067,0.4653
2832,21,6,1.98,0.9664,0.0074,0.4653
2832,23,6,1.98,0.9664,0.0081,0.4653
2848,15,6,1.98,0.9664,0.0053,0.4653
2848,17,6,1.98,0.9664,0.006,0.4653
2848,19,6,1.98,0.9664,0.0067,0.4653
2848,21,6,1.98,0.9664,0.0074,0.4653
2848,23,6,1.98,0.9664,0.0081,0.4653
2864,15,6,1.98,0.9664,0.0052,0.4653
2864,17,6,1.98,0.9664,0.0059,0.4653
2864,19,6,1.98,0.9664,0.0066,0.4653
2864,21,6,1.98,0.9664,0.0073,0.4653
2864,23,6,1.98,0.9664,0.008,0.4653
2880,15,6,1.98,0.9664,0.0052,0.4653
2880,17,6,1.98,0.9664,0.0059,0.4653
2880,19,6,1.98,0.9664,0.0066,0.4653
2880,21,6,1.98,0.9664,0.0073,0.4653
2880,23,6,1.98,0.9664,0.008,0.4653
2896,15,6,1.98,0.9664,0.0052,0.4653
2896,17,6,1.98,0.9664,0.0059,0.4653
2896,19,6,1.98,0.9664,0.0066,0.4653
2896,21,6,1.98,0.9664,0.0073,0.4653
2896,23,6,1.98,0.9664,0.0079,0.4653
2912,15,6,1.98,0.9664,0.0052,0.4653
2912,17,6,1.98,0.9664,0.0058,0.4653
2912,19,6,1.98,0.9664,0.0065,0.4653
2912,21,6,1.98,0.9664,0.0072,0.4653
2912,23,6,1.98,0.9664,0.0079,0.4653
2928,15,6,1.98,0.9664,0.0051,0.4653
2928,17,6,1.98,0.9664,0.0058,0.4653
2928,19,6,1.98,0.9664,0.0065,0.4653
2928,21,6,1.98,0.9664,0.0072,0.4653
2928,23,6,1.98,0.9664,0.0079,0.4653
2944,15,6,1.98,0.9664,0.0051,0.4653
2944,17,6,1.98,0.9664,0.0058,0.4653
2944,19,6,1.98,0.9664,0.0065,0.4653
2944,21,6,1.98,0.9664,0.0071,0.4653
2944,23,6,1.98,0.9664,0.0078,0.4653
2960,15,6,1.98,0.9664,0.0051,0.4653
2960,17,6,1.98,0.9664,0.0057,0.4653
2960,19,6,1.98,0.9664,0.0064,0.4653
2960,21,6,1.98,0.9664,0.0071,0.4653
2960,23,6,1.98,0.9664,0.0078,0.4653
2976,15,6,1.98,0.9664,0.005,0.4653
2976,17,6,1.98,0.9664,0.0057,0.4653
2976,19,6,1.98,0.9664,0.0064,0.4653
2976,21,6,1.98,0.9664,0.0071,0.4653
2976,23,6,1.98,0.9664,0.0077,0.4653
2992,15,6,1.98,0.9664,0.005,0.4653
2992,17,6,1.98,0.9664,0.0057,0.4653
2992,19,6,1.98,0.9664,0.0064,0.4653
2992,21,6,1.98,0.9664,0.007,0.4653
2992,23,6,1.98,0.9664,0.0077,0.4653
3008,17,6,1.98,0.9664,0.0057,0.4653
3008,19,6,1.98,0.9664,0.0063,0.4653
3008,21,6,1.98,0.9664,0.007,0.4653
3008,23,6,1.98,0.9664,0.0076,0.4653
3024,17,6,1.98,0.9664,0.0056,0.4653
3024,19,6,1.98,0.9664,0.0063,0.4653
3024,21,6,1.98,0.9664,0.0069,0.4653
3024,23,6,1.98,0.9664,0.0076,0.4653
3040,17,6,1.98,0.9664,0.0056,0.4653
3040,19,6,1.98,0.9664,0.0063,0.4653
3040,21,6,1.98,0.9664,0.0069,0.4653
3040,23,6,1.98,0.9664,0.0076,0.4653
3056,17,6,1.98,0.9664,0.0056,0.4653
3056,19,6,1.98,0.9664,0.0062,0.4653
3056,21,6,1.98,0.9664,0.0069,0.4653
3056,23,6,1.98,0.9664,0.0075,0.4653
3072,17,6,1.98,0.9664,0.0055,0.4653
3072,19,6,1.98,0.9664,0.0062,0.4653
3072,21,6,1.98,0.9664,0.0068,0.4653
3072,23,6,1.98,0.9664,0.0075,0.4653
3088,17,6,1.98,0.9664,0.0055,0.4653
3088,19,6,1.98,0.9664,0.0062,0.4653
3088,21,6,1.98,0.9664,0.0068,0.4653
3088,23,6,1.98,0.9664,0.0074,0.4653
3104,17,6,1.98,0.9664,0.0055,0.4653
3104,19,6,1.98,0.9664,0.0061,0.4653
3104,21,6,1.98,0.9664,0.0068,0.4653
3104,23,6,1.98,0.9664,0.0074,0.4653
3120,17,6,1.98,0.9664,0.0054,0.4653
3120,19,6,1.98,0.9664,0.0061,0.4653
3120,21,6,1.98,0.9664,0.0067,0.4653
3120,23,6,1.98,0.9664,0.0074,0.4653
3136,17,6,1.98,0.9664,0.0054,0.4653
3136,19,6,1.98,0.9664,0.0061,0.4653
3136,21,6,1.98,0.9664,0.0067,0.4653
3136,23,6,1.98,0.9664,0.0073,0.4653
3152,17,6,1.98,0.9664,0.0054,0.4653
