m,max_layer,efc,efs,avg_recall,avg_recall,avg_recall,avg_time_ms,avg_time_ms,avg_time_ms
,,,,mean,std,count,mean,std,count
19,14,770,1040,0.97906,,1,2.065036,,1
19,14,770,1070,0.97979,,1,2.157137,,1
19,14,770,1078,0.97996,,1,2.173303,,1
19,14,770,1080,0.97999,,1,2.170875,,1
19,14,770,1081,0.98001,,1,2.211444,,1
19,14,770,1082,0.98004,0.0,2,2.142997,0.0,2
19,14,770,1085,0.98012,,1,2.173842,,1
19,14,770,1100,0.98035,,1,2.452495,,1
19,14,770,1160,0.98158,,1,2.317529,,1
19,14,770,1280,0.98363,,1,2.504648,,1
19,14,770,1520,0.98679,,1,3.014101,,1
19,14,770,2000,0.9905,,1,3.957233,,1
20,10,612,1040,0.9799,,1,2.106938,,1
20,10,612,1520,0.98757,,1,3.018858,,1
20,10,612,1760,0.98969,,1,3.452097,,1
20,10,612,1790,0.98989,,1,3.562845,,1
20,10,612,1798,0.98996,,1,3.508766,,1
20,10,612,1800,0.98999,,1,3.495115,,1
20,10,612,1801,0.99001,0.0,2,3.520543,0.0,2
20,10,612,1802,0.99001,,1,3.591327,,1
20,10,612,1805,0.99003,,1,3.597603,,1
20,10,612,1820,0.9901,,1,3.522512,,1
20,10,612,1880,0.99047,,1,3.968557,,1
20,10,612,2000,0.9912,,1,3.954397,,1
20,14,293,2000,0.98796,0.0,2,3.564792,0.0,2
30,15,675,560,0.97921,,1,1.569675,,1
30,15,675,800,0.98754,,1,2.170741,,1
30,15,675,860,0.98904,,1,2.33832,,1
30,15,675,890,0.98964,,1,2.46495,,1
30,15,675,905,0.98995,,1,2.709903,,1
30,15,675,907,0.98998,,1,2.433673,,1
30,15,675,908,0.98999,,1,2.452213,,1
30,15,675,909,0.99001,,1,2.478118,,1
30,15,675,913,0.99005,0.0,2,2.47197,0.0,2
30,15,675,920,0.99024,,1,2.508041,,1
30,15,675,1040,0.9919,,1,3.07793,,1
30,15,675,2000,0.99771,,1,5.195836,,1
32,5,530,560,0.9795416666666666,4.490731195096514e-05,6,1.7028975,0.12285463833612477,6
32,5,530,564,0.9798,0.0,3,1.520135,0.0,3
32,5,530,566,0.97991,0.0,3,1.842767,0.0,3
32,5,530,567,0.9799700000000001,0.0,3,1.536214,0.0,3
32,5,530,568,0.9800400000000001,0.0,3,1.541965,0.0,3
32,5,530,575,0.98029,0.0,6,1.525112,0.0,6
32,5,530,590,0.98111,0.0,3,1.570203,0.0,3
32,5,530,620,0.98243,0.0,3,1.652101,0.0,3
32,5,530,680,0.9847100000000001,0.0,3,1.8189090000000003,0.0,3
32,5,530,800,0.98773,0.0,6,2.175602833333333,0.08826604631774701,6
32,5,530,860,0.9890500000000001,3.464101615144424e-05,3,2.362848,0.047538874692192756,3
32,5,530,890,0.9896666666666666,1.1547005383844125e-05,3,2.5533886666666668,0.23501050745090804,3
32,5,530,905,0.9899633333333333,1.1547005383844125e-05,3,2.687362333333333,0.16908344144928344,3
32,5,530,906,0.98996,,1,2.575935,,1
32,5,530,907,0.989995,5.773502691843274e-06,4,2.52717825,0.08292912064076144,4
32,5,530,908,0.99004,0.0,3,2.4862006666666665,0.04597613398637738,3
32,5,530,909,0.99008,0.0,4,2.47479425,0.07045289146361103,4
32,5,530,913,0.9901366666666668,5.773502691934081e-06,3,2.4904153333333334,0.06392568024145964,3
32,5,530,920,0.9902366666666667,5.773502691910044e-06,3,2.523725,0.0867284022048144,3
32,5,530,1040,0.9919283333333334,5.307227776028003e-05,6,2.895887,0.2518656932414575,6
32,5,530,2000,0.9975233333333332,4.082482904639132e-05,6,5.2780925,0.23549428668887054,6
