STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c3072_i1_p400,3072,1,400,22,0.999,3.66,3
c384_i16_p64,384,16,64,26,0.999,4.18,6
c1536_i1_p224,1536,1,224,24,0.999,5.49,2
c256_i1_p64,256,1,64,23,0.999,7.05,1
c3072_i1_p256,3072,1,256,19,0.9988,2.84,2
c3072_i1_p324,3072,1,324,21,0.9988,3.9,3
c640_i16_p128,640,16,128,32,0.9988,4.37,8
c384_i16_p128,384,16,128,24,0.9988,6.54,4
c384_i16_p400,384,16,400,36,0.9988,7.67,9
c384_i16_p256,384,16,256,28,0.9988,7.86,4
c384_i16_p648,384,16,648,28,0.9988,7.95,5
c384_i16_p2048,384,16,2048,28,0.9988,8,5
c384_i16_p1024,384,16,1024,27,0.9988,8.12,5
c384_i16_p4096,384,16,4096,28,0.9988,8.21,5
c384_i16_p512,384,16,512,31,0.9988,8.27,5
c384_i16_p800,384,16,800,28,0.9988,8.69,5
c192_i1_p64,192,1,64,24,0.9988,8.81,1
c384_i16_p3000,384,16,3000,28,0.9988,9.78,5
c384_i16_p324,384,16,324,34,0.9988,9.85,4
c256_i1_p128,256,1,128,27,0.9988,10.05,1
c384_i16_p224,384,16,224,29,0.9988,10.41,4
c256_i1_p224,256,1,224,26,0.9988,10.43,1
c64_i1_p32,64,1,32,27,0.9988,11.05,2
c128_i1_p64,128,1,64,27,0.9988,11.46,1
c6144_i1_p512,6144,1,512,23,0.9986,2.81,5
c10240_i1_p1024,10240,1,1024,25,0.9986,3.34,7
c512_i16_p64,512,16,64,22,0.9986,3.47,5
c2048_i1_p256,2048,1,256,20,0.9986,3.61,2
c2048_i1_p224,2048,1,224,20,0.9986,3.8,3
c1280_i16_p224,1280,16,224,32,0.9986,3.94,11
c3072_i1_p224,3072,1,224,25,0.9986,4.04,3
c1280_i16_p256,1280,16,256,32,0.9986,4.12,12
c1536_i1_p256,1536,1,256,21,0.9986,4.49,2
c3072_i1_p512,3072,1,512,25,0.9986,4.72,4
c1280_i16_p324,1280,16,324,34,0.9986,4.99,11
c1280_i1_p256,1280,1,256,20,0.9986,5.03,1
c1280_i1_p224,1280,1,224,22,0.9986,5.16,2
c512_i16_p128,512,16,128,26,0.9986,5.71,8
c8192_i1_p800,8192,1,800,23,0.9986,5.75,5
c1280_i16_p400,1280,16,400,34,0.9986,5.86,15
c1280_i1_p324,1280,1,324,24,0.9986,6.25,2
c640_i16_p224,640,16,224,29,0.9986,6.32,7
c512_i16_p224,512,16,224,27,0.9986,7.09,5
c1280_i1_p3000,1280,1,3000,22,0.9986,7.27,1
c512_i16_p256,512,16,256,35,0.9986,7.62,12
c1280_i1_p512,1280,1,512,25,0.9986,7.63,2
c1280_i1_p1024,1280,1,1024,22,0.9986,7.65,2
c1280_i1_p2048,1280,1,2048,25,0.9986,7.74,2
c512_i16_p648,512,16,648,28,0.9986,7.79,5
c512_i16_p1024,512,16,1024,29,0.9986,7.85,6
c512_i16_p324,512,16,324,28,0.9986,7.97,6
c512_i16_p2048,512,16,2048,31,0.9986,7.98,7
c512_i16_p4096,512,16,4096,27,0.9986,8.01,6
c1280_i1_p400,1280,1,400,28,0.9986,8.19,4
