STAMP,NUM_CENTROIDS,KMEANS_ITER,NPROBE,ELAPSED_s,RECALL,AVG_QUERY_TIME_ms,INDEX_BUILD_TIME_s
c64_i1_p32,64,1,32,39,0.9769,23.50,1
c96_i1_p32,96,1,32,30,0.9500,15.98,1
c128_i1_p32,128,1,32,28,0.9261,12.95,1
c192_i1_p32,192,1,32,23,0.8890,8.29,1
c256_i1_p32,256,1,32,27,0.8701,7.52,3
c384_i1_p32,384,1,32,18,0.8373,4.51,1
c512_i1_p32,512,1,32,18,0.8168,3.55,1
c640_i1_p32,640,1,32,20,0.7995,2.73,1
c768_i1_p32,768,1,32,16,0.7846,2.64,1
c896_i1_p32,896,1,32,17,0.7756,2.34,1
c1024_i1_p32,1024,1,32,18,0.7727,1.74,2
c96_i1_p64,96,1,64,37,0.9927,20.22,3
c128_i1_p64,128,1,64,32,0.9817,17.35,1
c192_i1_p64,192,1,64,29,0.9589,10.51,3
c256_i1_p64,256,1,64,23,0.9406,8.67,1
c384_i1_p64,384,1,64,21,0.9114,5.75,1
c512_i1_p64,512,1,64,20,0.8934,4.52,1
c640_i1_p64,640,1,64,18,0.8785,3.66,1
c768_i1_p64,768,1,64,18,0.8666,3.27,1
c896_i1_p64,896,1,64,20,0.8587,2.81,3
c1024_i1_p64,1024,1,64,18,0.8513,2.58,1
c1280_i1_p64,1280,1,64,18,0.8411,2.28,2
c1536_i1_p64,1536,1,64,24,0.8290,2.01,3
c2048_i1_p64,2048,1,64,16,0.8107,1.68,2
c2560_i1_p64,2560,1,64,18,0.8013,1.46,2
c3072_i1_p64,3072,1,64,18,0.7931,1.33,3
c64_i1_p128,64,1,128,43,1.0000,27.46,1
c96_i1_p128,96,1,128,46,1.0000,27.46,2
c128_i1_p128,128,1,128,40,1.0000,25.55,1
c192_i1_p128,192,1,128,37,0.9945,17.99,3
c256_i1_p128,256,1,128,29,0.9846,14.90,1
c384_i1_p128,384,1,128,29,0.9664,12.22,1
c512_i1_p128,512,1,128,23,0.9533,7.29,1
c640_i1_p128,640,1,128,20,0.9431,6.20,1
c768_i1_p128,768,1,128,23,0.9328,6.30,3
c896_i1_p128,896,1,128,20,0.9250,4.81,1
c1024_i1_p128,1024,1,128,19,0.9191,4.33,1
c1280_i1_p128,1280,1,128,21,0.9085,3.61,3
c1536_i1_p128,1536,1,128,18,0.8954,3.21,2
c2048_i1_p128,2048,1,128,18,0.8781,3.25,2
c2560_i1_p128,2560,1,128,24,0.8668,2.14,4
c3072_i1_p128,3072,1,128,19,0.8615,1.98,3
c4096_i1_p128,4096,1,128,18,0.8504,1.68,3
c5120_i1_p128,5120,1,128,25,0.8400,1.80,8
c6144_i1_p128,6144,1,128,20,0.8371,1.41,5
c8192_i1_p128,8192,1,128,22,0.8295,1.26,6
c10240_i1_p128,10240,1,128,26,0.8240,1.27,9
c64_i1_p224,64,1,224,43,1.0000,28.16,1
c96_i1_p224,96,1,224,44,1.0000,27.03,2
c128_i1_p224,128,1,224,40,1.0000,26.37,1
c192_i1_p224,192,1,224,40,1.0000,25.90,1
c256_i1_p224,256,1,224,41,0.9994,23.72,1
c384_i1_p224,384,1,224,30,0.9916,16.40,1
c512_i1_p224,512,1,224,26,0.9815,11.92,1
c640_i1_p224,640,1,224,26,0.9757,9.77,1
c768_i1_p224,768,1,224,24,0.9676,8.71,1
